Date,Hour,DateTime,Count
9/5/16,0:00:00,9/5/16 0:00,5356
9/5/16,1:00:00,9/5/16 1:00,2964
9/5/16,2:00:00,9/5/16 2:00,870
9/5/16,3:00:00,9/5/16 3:00,942
9/5/16,22:00:00,9/5/16 22:00,1328
9/5/16,23:00:00,9/5/16 23:00,2695
10/5/16,0:00:00,10/5/16 0:00,3297
10/5/16,1:00:00,10/5/16 1:00,1703
10/5/16,2:00:00,10/5/16 2:00,162
14/04/2016,21:00:00,14/04/2016 21:00,18050
14/04/2016,22:00:00,14/04/2016 22:00,2405
14/04/2016,23:00:00,14/04/2016 23:00,1982
15/04/2016,19:00:00,15/04/2016 19:00,188067
15/04/2016,20:00:00,15/04/2016 20:00,267580
15/04/2016,21:00:00,15/04/2016 21:00,393480
15/04/2016,22:00:00,15/04/2016 22:00,211107
15/04/2016,23:00:00,15/04/2016 23:00,116888
16/04/2016,0:00:00,16/04/2016 0:00,270702
16/04/2016,1:00:00,16/04/2016 1:00,403667
16/04/2016,4:00:00,16/04/2016 4:00,15570
16/04/2016,5:00:00,16/04/2016 5:00,98140
16/04/2016,6:00:00,16/04/2016 6:00,192749
16/04/2016,7:00:00,16/04/2016 7:00,10759
16/04/2016,15:00:00,16/04/2016 15:00,325175
16/04/2016,16:00:00,16/04/2016 16:00,255223
16/04/2016,17:00:00,16/04/2016 17:00,80621
16/04/2016,18:00:00,16/04/2016 18:00,27141
16/04/2016,21:00:00,16/04/2016 21:00,516566
16/04/2016,22:00:00,16/04/2016 22:00,178155
16/04/2016,23:00:00,16/04/2016 23:00,92246
17/04/2016,0:00:00,17/04/2016 0:00,35438
17/04/2016,1:00:00,17/04/2016 1:00,19760
17/04/2016,2:00:00,17/04/2016 2:00,51615
17/04/2016,3:00:00,17/04/2016 3:00,29689
17/04/2016,4:00:00,17/04/2016 4:00,19903
17/04/2016,5:00:00,17/04/2016 5:00,30637
17/04/2016,6:00:00,17/04/2016 6:00,27442
17/04/2016,21:00:00,17/04/2016 21:00,461392
17/04/2016,22:00:00,17/04/2016 22:00,173152
17/04/2016,23:00:00,17/04/2016 23:00,102828
18/04/2016,0:00:00,18/04/2016 0:00,87539
18/04/2016,1:00:00,18/04/2016 1:00,51911
18/04/2016,23:00:00,18/04/2016 23:00,109016
19/04/2016,0:00:00,19/04/2016 0:00,65428
19/04/2016,1:00:00,19/04/2016 1:00,26579
19/04/2016,6:00:00,19/04/2016 6:00,3997
20/04/2016,21:00:00,20/04/2016 21:00,198191
20/04/2016,22:00:00,20/04/2016 22:00,48116
21/04/2016,23:00:00,21/04/2016 23:00,218759
22/04/2016,0:00:00,22/04/2016 0:00,158747
22/04/2016,1:00:00,22/04/2016 1:00,107729
22/04/2016,22:00:00,22/04/2016 22:00,140124
22/04/2016,23:00:00,22/04/2016 23:00,34107
23/04/2016,12:00:00,23/04/2016 12:00,519675
23/04/2016,13:00:00,23/04/2016 13:00,244486
23/04/2016,14:00:00,23/04/2016 14:00,311036
23/04/2016,15:00:00,23/04/2016 15:00,268362
23/04/2016,16:00:00,23/04/2016 16:00,163835
23/04/2016,17:00:00,23/04/2016 17:00,80265
23/04/2016,18:00:00,23/04/2016 18:00,53867
23/04/2016,19:00:00,23/04/2016 19:00,50741
23/04/2016,20:00:00,23/04/2016 20:00,273500
23/04/2016,21:00:00,23/04/2016 21:00,778442
23/04/2016,22:00:00,23/04/2016 22:00,663003
23/04/2016,23:00:00,23/04/2016 23:00,793511
24/04/2016,0:00:00,24/04/2016 0:00,364649
24/04/2016,1:00:00,24/04/2016 1:00,231333
24/04/2016,2:00:00,24/04/2016 2:00,197915
24/04/2016,3:00:00,24/04/2016 3:00,230364
24/04/2016,4:00:00,24/04/2016 4:00,85803
24/04/2016,5:00:00,24/04/2016 5:00,25058
25/04/2016,0:00:00,25/04/2016 0:00,254399
25/04/2016,1:00:00,25/04/2016 1:00,372272
25/04/2016,2:00:00,25/04/2016 2:00,213200
25/04/2016,3:00:00,25/04/2016 3:00,246045
25/04/2016,4:00:00,25/04/2016 4:00,214671
25/04/2016,14:00:00,25/04/2016 14:00,224909
25/04/2016,15:00:00,25/04/2016 15:00,52696
25/04/2016,21:00:00,25/04/2016 21:00,269474
25/04/2016,22:00:00,25/04/2016 22:00,134836
26/04/2016,22:00:00,26/04/2016 22:00,102482
28/04/2016,21:00:00,28/04/2016 21:00,59247
29/04/2016,21:00:00,29/04/2016 21:00,437283
29/04/2016,22:00:00,29/04/2016 22:00,371893
29/04/2016,23:00:00,29/04/2016 23:00,173796
30/04/2016,1:00:00,30/04/2016 1:00,89007
30/04/2016,13:00:00,30/04/2016 13:00,314308
30/04/2016,14:00:00,30/04/2016 14:00,278124
30/04/2016,15:00:00,30/04/2016 15:00,119554
30/04/2016,16:00:00,30/04/2016 16:00,189371
30/04/2016,17:00:00,30/04/2016 17:00,211329
30/04/2016,18:00:00,30/04/2016 18:00,170507
30/04/2016,19:00:00,30/04/2016 19:00,116230
30/04/2016,20:00:00,30/04/2016 20:00,125207
30/04/2016,21:00:00,30/04/2016 21:00,508208
30/04/2016,22:00:00,30/04/2016 22:00,1169723
30/04/2016,23:00:00,30/04/2016 23:00,616484
1/5/16,0:00:00,1/5/16 0:00,381376
1/5/16,1:00:00,1/5/16 1:00,408247
1/5/16,14:00:00,1/5/16 14:00,30666
1/5/16,15:00:00,1/5/16 15:00,13628
1/5/16,19:00:00,1/5/16 19:00,81965
1/5/16,21:00:00,1/5/16 21:00,53361
1/5/16,22:00:00,1/5/16 22:00,166587
1/5/16,23:00:00,1/5/16 23:00,204663
2/5/16,0:00:00,2/5/16 0:00,81184
2/5/16,1:00:00,2/5/16 1:00,167409
2/5/16,11:00:00,2/5/16 11:00,109447
2/5/16,12:00:00,2/5/16 12:00,25140
2/5/16,13:00:00,2/5/16 13:00,50499
2/5/16,19:00:00,2/5/16 19:00,1207
2/5/16,20:00:00,2/5/16 20:00,62988
2/5/16,21:00:00,2/5/16 21:00,261655
2/5/16,22:00:00,2/5/16 22:00,53820
2/5/16,23:00:00,2/5/16 23:00,57279
3/5/16,21:00:00,3/5/16 21:00,140207
3/5/16,22:00:00,3/5/16 22:00,60516
3/5/16,23:00:00,3/5/16 23:00,51315
4/5/16,0:00:00,4/5/16 0:00,40550
4/5/16,1:00:00,4/5/16 1:00,65360
4/5/16,22:00:00,4/5/16 22:00,57343
6/5/16,3:00:00,6/5/16 3:00,23523
6/5/16,4:00:00,6/5/16 4:00,3695
6/5/16,5:00:00,6/5/16 5:00,209
8/5/16,23:00:00,8/5/16 23:00,19666
9/5/16,0:00:00,9/5/16 0:00,9364
9/5/16,1:00:00,9/5/16 1:00,4880
9/5/16,2:00:00,9/5/16 2:00,3544
9/5/16,3:00:00,9/5/16 3:00,1512
9/5/16,4:00:00,9/5/16 4:00,468
9/5/16,5:00:00,9/5/16 5:00,47
9/5/16,22:00:00,9/5/16 22:00,4463
9/5/16,23:00:00,9/5/16 23:00,6688
10/5/16,0:00:00,10/5/16 0:00,9231
10/5/16,1:00:00,10/5/16 1:00,5169
10/5/16,2:00:00,10/5/16 2:00,3000
10/5/16,3:00:00,10/5/16 3:00,1662
10/5/16,4:00:00,10/5/16 4:00,600
